,0
521,OMOP_42898718
522,OMOP_42900068
523,OMOP_42898981
524,OMOP_42900219
525,OMOP_42899989
526,OMOP_42900117
527,OMOP_42898897
528,OMOP_42899590
529,OMOP_42899614
530,OMOP_42899663
531,OMOP_42900454
532,OMOP_42900340
533,OMOP_42898325
534,OMOP_42898496
535,OMOP_42898495
536,OMOP_42900430
537,OMOP_42898507
538,OMOP_42899620
539,OMOP_42900529
540,OMOP_42900434
541,OMOP_42898731
542,OMOP_42899100
543,OMOP_42899575
544,OMOP_42899125
545,OMOP_42899772
546,OMOP_42899131
547,OMOP_42900436
548,OMOP_42900572
549,OMOP_42899093
550,OMOP_42900311
551,OMOP_42900451
552,OMOP_42898461
553,OMOP_42898462
554,OMOP_42898181
555,OMOP_42899142
556,OMOP_42900499
557,OMOP_42900480
558,OMOP_42899753
559,OMOP_42900419
560,OMOP_42900559
561,OMOP_42899594
562,OMOP_42900497
563,OMOP_42900211
564,OMOP_42900413
565,OMOP_42900490
566,OMOP_42900065
567,OMOP_42900481
568,OMOP_42900013
569,OMOP_42900115
570,OMOP_42900000
571,OMOP_42898251
572,OMOP_42900054
573,OMOP_42900396
574,OMOP_42900032
575,OMOP_42898358
576,OMOP_42898770
577,OMOP_42899860
578,OMOP_42899850
579,OMOP_42898574
580,OMOP_42899952
581,OMOP_42898444
582,OMOP_42899916
583,OMOP_42899570
584,OMOP_42900001
585,OMOP_42899613
586,OMOP_42899303
587,OMOP_42899301
588,OMOP_42899427
589,OMOP_42898473
590,OMOP_42899420
591,OMOP_42898847
592,OMOP_42900231
593,OMOP_42899355
594,OMOP_42898727
595,OMOP_42899029
596,OMOP_42900537
597,OMOP_42899244
598,OMOP_42899334
599,OMOP_42899330
600,OMOP_42899400
601,OMOP_42899171
602,OMOP_42899518
603,OMOP_42899172
604,OMOP_42899123
605,OMOP_42899091
606,OMOP_42898898
607,OMOP_42899548
608,OMOP_42899505
609,OMOP_42900427
610,OMOP_42900428
611,OMOP_42899551
612,OMOP_42900417
613,OMOP_42898954
614,OMOP_42899595
615,OMOP_42899409
616,OMOP_42899496
617,OMOP_42900238
618,OMOP_42899025
619,OMOP_42900567
620,OMOP_42900564
621,OMOP_42898395
622,OMOP_42898337
623,OMOP_42898405
624,OMOP_42898320
625,OMOP_42898422
626,OMOP_42898336
627,OMOP_42898351
628,OMOP_42898261
629,OMOP_42898367
630,OMOP_42898494
631,OMOP_42898779
632,OMOP_42898743
633,OMOP_42898742
634,OMOP_42899036
635,OMOP_42898848
636,OMOP_42899067
637,OMOP_42898871
638,OMOP_42899039
639,OMOP_42898995
640,OMOP_42899072
641,OMOP_42899265
642,OMOP_42899191
643,OMOP_42899192
644,OMOP_42899973
645,OMOP_42899203
646,OMOP_42899087
647,OMOP_42899107
648,OMOP_42899464
649,OMOP_42899477
650,OMOP_42899492
651,OMOP_42899498
652,OMOP_42899514
653,OMOP_42899515
654,OMOP_42899332
655,OMOP_42899338
656,OMOP_42899657
657,OMOP_42899389
658,OMOP_42899668
659,OMOP_42899695
660,OMOP_42899658
661,OMOP_42899662
662,OMOP_42899664
663,OMOP_42899532
664,OMOP_42899535
665,OMOP_42899569
666,OMOP_42899905
667,OMOP_42899922
668,OMOP_42899926
669,OMOP_42899561
670,OMOP_42899949
671,OMOP_42899950
672,OMOP_42899953
673,OMOP_42899714
674,OMOP_42899717
675,OMOP_42899721
676,OMOP_42899730
677,OMOP_42899744
678,OMOP_42899003
679,OMOP_42899450
680,OMOP_42899004
681,OMOP_42899113
682,OMOP_42899747
683,OMOP_42899114
684,OMOP_42899806
685,OMOP_42899807
686,OMOP_42899117
687,OMOP_42900218
688,OMOP_42899118
689,OMOP_42900222
690,OMOP_42900230
691,OMOP_42899127
692,OMOP_42900212
693,OMOP_42900006
694,OMOP_42899128
695,OMOP_42900029
696,OMOP_42900067
697,OMOP_42900062
698,OMOP_42899392
699,OMOP_42899349
700,OMOP_42899643
701,OMOP_42899598
702,OMOP_42899545
703,OMOP_42900496
704,OMOP_42899601
705,OMOP_42899605
706,OMOP_42899608
707,OMOP_42898408
708,OMOP_42898419
709,OMOP_42898420
710,OMOP_42898423
711,OMOP_42899817
712,OMOP_42898426
713,OMOP_42899822
714,OMOP_42898427
715,OMOP_42899827
716,OMOP_42899843
717,OMOP_42900554
718,OMOP_42898865
719,OMOP_42899741
720,OMOP_42898366
721,OMOP_42898489
722,OMOP_42898832
723,OMOP_42900208
724,OMOP_42899448
725,OMOP_42898618
726,OMOP_42899168
727,OMOP_42900399
728,OMOP_42900207
729,OMOP_42899157
730,OMOP_42899462
731,OMOP_42899475
732,OMOP_42898637
733,OMOP_42900476
734,OMOP_42899485
735,OMOP_42899678
736,OMOP_42899881
737,OMOP_42899888
738,OMOP_42898839
739,OMOP_42899990
740,OMOP_42899379
741,OMOP_42899484
742,OMOP_42899380
